ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,visits,,chinatown,sunsetpark,flushing,,2020,,,,2021,,
10463,0,Bronx,70641,3119701.913,NY,New York,27118,,1361259,15765,98508,,chinatown,sunsetpark,flushing,,chinatown,sunsetpark,flushing
11213,0,Brooklyn,62426,29631004.44,NY,Kings,18630,,,,,,238431,6081,18189,,420884,10114,40753
11436,0,Jamaica,18681,22699295.46,NY,Queens,9595,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,COUNTY,20_raw_vis,,,COUNTY,21v,
,,,,,,,,,,,,,New York,9011,,,New York,11252,
,,,,,,,,,,,,,Kings,5474,,,Kings,6069,
,,,,,,,,,,,,,Queens,3452,,,Queens,6495,
,,,,,,Region,2019-2020,2020-2021,,,,,,,,,,,
,,,,,,Chinatown,-82.48%,76.52%,,,,,,,,,,,
,,,,,,Sunset Park,-159.25%,66.32%,,,,,,,,,,,
,,,,,,Flushing,-81.54%,124.05%,,,,,,,,,,,
,,,,,,Manhattan,-66.77%,24.87%,,,,,,,,,,,
,,,,,,Brooklyn,-70.62%,10.87%,,,,,,,,,,,
,,,,,,Queens,-64.02%,88.15%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,chinatown,sunsetpark,flushing,manhattan,brooklyn,queens,,,,,,,,,,,
,,,1361259,15765,98508,27118,18630,9595,,,,,,,,,,,